Model Year,Real-World CO2 (g/mi),Real-World FE (mpg),Weight (lbs),Horsepower (HP),"0 to 60
(s)",Footprint (ft2),Car Production Share,Truck Production Share
1975,681,13.1,"4,060",137,-,-,80.7%,19.3%
1976,625,14.2,"4,079",135,-,-,78.9%,21.1%
1977,590,15.1,"3,982",136,-,-,80.1%,19.9%
1978,562,15.8,"3,715",129,13.6,-,77.5%,22.5%
1979,560,15.9,"3,655",124,14.6,-,77.9%,22.1%
1980,466,19.2,"3,228",104,15.6,-,83.5%,16.5%
1981,436,20.5,"3,202",102,15.6,-,82.8%,17.2%
1982,425,21.1,"3,202",103,16.6,-,80.5%,19.5%
1983,426,21.0,"3,257",107,14.9,-,78.0%,22.0%
1984,424,21.0,"3,262",109,14.7,-,76.5%,23.5%
1985,417,21.3,"3,271",114,14.1,-,75.2%,24.8%
1986,407,21.8,"3,238",114,13.4,-,72.1%,27.9%
1987,405,22.0,"3,221",118,13.4,-,72.8%,27.2%
1988,407,21.9,"3,283",123,13.3,-,70.9%,29.1%
1989,415,21.4,"3,351",129,12.5,-,70.1%,29.9%
1990,420,21.2,"3,426",135,11.5,-,70.4%,29.6%
1991,418,21.3,"3,410",138,11.4,-,69.6%,30.4%
1992,427,20.8,"3,512",145,11.0,-,68.6%,31.4%
1993,426,20.9,"3,519",147,10.3,-,67.6%,32.4%
1994,436,20.4,"3,603",152,10.1,-,61.9%,38.1%
1995,434,20.5,"3,613",158,10.1,-,63.5%,36.5%
1996,435,20.4,"3,659",164,10.4,-,62.2%,37.8%
1997,441,20.2,"3,727",169,10.2,-,60.1%,39.9%
1998,442,20.1,"3,744",171,10.4,-,58.3%,41.7%
1999,451,19.7,"3,835",179,10.3,-,58.3%,41.7%
2000,450,19.8,"3,821",181,9.8,-,58.8%,41.2%
2001,453,19.6,"3,879",187,9.5,-,58.6%,41.4%
2002,457,19.5,"3,951",195,9.4,-,55.2%,44.8%
2003,454,19.6,"3,999",199,9.3,-,53.9%,46.1%
2004,461,19.3,"4,111",211,9.1,-,52.0%,48.0%
2005,447,19.9,"4,059",209,9.0,-,55.6%,44.4%
2006,442,20.1,"4,067",213,8.9,-,57.9%,42.1%
2007,431,20.6,"4,093",217,8.9,-,58.9%,41.1%
2008,424,21.0,"4,085",219,8.9,48.9,59.3%,40.7%
2009,397,22.4,"3,914",208,8.8,47.9,67.0%,33.0%
2010,394,22.6,"4,001",214,8.8,48.5,62.8%,37.2%
2011,399,22.3,"4,126",230,8.5,49.5,57.8%,42.2%
2012,377,23.6,"3,979",222,8.5,48.8,64.4%,35.6%
2013,368,24.2,"4,003",226,8.4,49.1,64.1%,35.9%
2014,369,24.1,"4,060",230,8.3,49.7,59.3%,40.7%
2015,361,24.6,"4,035",229,8.3,49.4,57.4%,42.6%
2016,359,24.7,"4,035",230,8.3,49.5,55.3%,44.7%
2017,357,24.9,"4,093",233,8.2,49.8,52.5%,47.5%
2018 (prelim),348,25.4,"4,094",237,8.0,50.0,51.7%,48.3%
